session_id^feedback^date
DqzZEmTf4SkQ6yMFbRqODb_kaAR1GvHp^Ziet er beter uit. Er zitten bijna geen gekke winkels meer tussen. Het laden duurt nog wel best lang.^2017/01/13 11:41:08
x5ec3X16SZ7ku4P8IfhL1lpWR9FBEj05^^2017/01/13 13:08:36
5ksVpgc-lCJ3QDxPXUnGn86R7LwRa1rO^^2017/01/15 16:03:32
dyDhgeTzSnsWymASN2RlagU1QkQpnwFW^Soms moest ik Googlen om te weten wat voor soort winkels het zijn, daarnaast vroeg ik me af of ik routes langer dan 70 minuten mocht kiezen of niet?^2017/01/15 17:06:01
ekcvdRS0qDcE2jMyJMg0HLobjqCQG0Qz^Er waren veel winkels die ik niet kende en daardoor was het moeilijk te beoordelen of ze bij mijn interesse passen. En misschien heb ik toch de verkeerde persona gekozen in het begin, maar ook daar paste er niet echt een persona heel goed bij mij.^2017/01/16 14:00:52
43JXZNiFTtc1U9ANsKKBuFp5Zbv1EnMN^^2017/01/16 14:34:13
VeDEA8wlTY_ELiOcQZFAL0TqDTXI1Msj^^2017/01/16 15:20:55
srzwpHl1dht5fBmy1R-p1GTC86h28YA3^^2017/01/16 16:12:02
7EsDAIl1kZrkBTU4ZrimygrSriQIVNrH^^2017/01/16 17:23:53
nakO_8so58NoBg_X2vTixNrgGeL76DCd^^2017/01/16 19:03:06
5Z0c6tFKMoVIbjLLda-RhulJF5-vd9sW^^2017/01/16 19:12:33
bK_XYDnbFNUZW1f_TadpkzPbTN2BLVpL^^2017/01/16 21:52:22
1wCYrv_osvzOhI1LvdjGaTQCIxYeVHXQ^^2017/01/17 13:12:30
58BT8xFshilc9Qy1E6sAsnsT7c0PlmDE^Veel onbekende winkels. Ook veel winkels die niemand op een normaal winkeldagje in zou lopen (denk aan ziggowinkel, parketvloeren),^2017/01/17 15:58:09
KHU-UUck7-P0fYJRMRJm1VTMnibu-99A^^2017/02/03 15:45:33
ck4_oO8Rwj-3XZbH4J1XMYoB0HnouYWu^^2017/02/06 12:27:34
Lcmt0-L7dPDJY_KOjMHxa-3lA6P8Wxfz^Ik kende veel winkels eigenlijk niet.^2017/02/07 12:32:41
ORzCEXfkzqyOfs1zb-X639aVlAOgxZFq^^2017/02/07 12:56:36
-cjot3qaWiyJBXBqYqJIUL0RJUN4A-tB^^2017/02/07 13:10:42
wgwBSyFshDJltf38OY27qrIe5U0NWEGy^Ik wist eerst niet wat orbit systems was, het kwam vaak terug dus had ik het opgezocht, vandaar de wisselende antwoorden^2017/02/07 13:38:10
sh072uyYA3Qoeoe1q8gLzECohXqk9h5o^Naast boeken & kantoor vind ik woonwinkels, electronica en (dames)kledingwinkels ook leuk, dus ik heb met name gekozen voor boeken- & woonwinkels, omdat electronica en kleding iets is wat ik alleen koop als ik het nodig heb. Ook heb ik hierin wel een bepaalde stijl en vind ik niet alle winkels die dat verkopen leuk.
Soms koos ik ook een kortere route ondanks dat ik de andere route misschien beter vond, maar dat is vanwege de 70 minuten.^2017/02/07 13:50:43
Mo4jYUdAXbeHhF81Sl87Exl8DfOjhE5j^Ik vind het erg moeilijk om te zeggen welke route "persoonlijk" was steeds, omdat ik niet erg vaak winkel. Daarbij kom ik meestal niet bij de winkels die genoemd werden, en ken ik er dus heel veel niet.^2017/02/07 15:15:45
pLl1DozcPJSTFis9wwZzOMVrVpFD1BRC^^2017/02/07 16:16:30
4ktLSX1fBPiFhZCFOIZvNdTy9p3OyFNy^^2017/02/07 17:58:45
-D1kbVU0sn6MOOtpYFaRwmnuO6hFNqbu^^2017/02/07 20:00:23
WykG5cu_Z7mpVnF2uD3KBljWg9sRL8dV^^2017/02/07 23:22:04
e62eAY25yIvpiRSr3l18k8pGvJW3eP6l^^2017/02/08 00:02:10
